Word,Count
confirm,976
port.,970
out.,966
approved,964
accommodation,960
keep,958
lifeboat,958
change,954
placed,953
shore,950
root,947
Meeting,947
crew.,945
failure,934
paint,934
hatch,932
safe,932
GMDSS,932
maintenance.,931
inspected,930
provide,921
arranged,911
System,909
identify,906
completion,905
upon,903
installed,903
lights,902
supply,901
who,899
specific,897
LSA,891
deficiency.,888
chief,887
equipment.,886
raised,883
items,881
enhance,880
immediate,880
system.,879
so,877
include,874
local,872
audit,871
2023.,869
timely,868
finding,867
book,865
life,863
first,861
conduct,859
log,858
awareness.,856
than,855
along,853
back,851
raise,848
parts,846
these,846
planned,845
Water,844
Officers,843
IMO,840
them,840
discharge,838
senior,831
managed,827
since,827
Deck,827
comply,826
close,824
take,823
cleaning,820
necessary,817
FOR,815
gangway,810
implementation,810
department,807
Cargo,803
already,802
store,795
doors,795
sensor,793
performed,789
leakage,789
inside,785
passage,785
ships,784
mentioned,784
knowledge,783
requirements.,777
make,773
given,772
vessels.,768
There,768
advised,767
defects,766
regularly,763
ON,762
maintain,761
daily,761
voyage,761
Equipment,757
damaged,756
risk,756
job,753
PSCO.,753
supplied,751
1),749
followed,748
instruction,748
number,748
communication,748
open,746
standard,743
Ship's,742
person,739
2),739
effective,737
arrangement,737
unit,735
ladder,735
may,733
station,732
Ballast,731
security,729
survey,728
delivered,728
hydraulic,726
thoroughly,723
subject,718
2022,718
stored,717
Office,716
hold,712
entire,711
using,706
Record,704
access,704
Immediately,703
strictly,701
effectiveness,700
briefing,700
operations,698
keeping,698
properly.,693
documents,693
discuss,692
aware,692
Committee,688
reminded,688
monitor,686
storage,685
provision,683
Additional,683
entries,681
BWTS,680
Same,677
copy,677
reviewed,675
weather,674
original,673
low,673
cleaned,671
We,671
Upon,670
does,670
future,669
Marine,666
sea,666
connection,665
Oil,665
surveyor,664
operation.,662
immediately.,662
technical,661
reporting,658
indicator,658
",",657
expired,657
starboard,655
New,654
previous,651
securing,649
room.,648
set,647
repaired,646
off,644
spares,643
operating,643
promptly,641
temperature,640
repairs,639
until,639
performance,638
satisfactory,636
put,634
need,633
areas,632
compass,630
state,625
valid,620
conditions,620
measures,619
Bridge,619
near,618
loading,618
checklist,617
call,616
Instructions,615
several,613
fixed,611
regulation,610
battery,610
C/E,610
secured,609
crews,608
end,608
via,607
procedures.,606
drain,604
communicated,603
Substandard,602
recurrence,601
navigation,601
accordingly.,601
ensuring,600
power,600
Manual,594
do,592
pipes,592
presented,592
pilot,591
scheduled,591
Control,591
item,589
renewed,589
implemented,588
electrical,587
how,584
material,583
unable,583
panel,582
request,582
and/or,581
duty,580
attended,579
revealed,578
type,577
data,577
however,576
committee,575
detailed,574
arrangements,574
ready,574
inspect,573
release,572
treatment,570
trained,570
normal,569
WAS,568
C/O,568
regulations,566
then,565
use.,562
entry,562
plan.,560
CO2,560
galley,559
latest,558
fitted,557
once,556
noticed,556
fleet.,554
PMS.,554
No.,553
clear,553
months,552
replacement,552
fresh,552
BE,551
possible,550
meeting.,549
AMSA,548
presence,547
Code,546
missed,546
concerned,545
details,544
4,542
guidance,542
State,541
hull,540
WITH,540
Senior,538
load,536
we,536
delivery,536
planning,535
appropriate,534
third,533
adequate,531
10,530
supervise,530
arrange,528
Garbage,528
present,528
find,526
Shipboard,526
switch,525
space,523
drills,523
Poor,522
pointed,522
marks,522
Main,521
An,521
actual,518
One,518
exhaust,517
inspections.,517
cable,517
"2023,",516
implement,515
clearly,514
connected,513
sewage,511
free,510
generator,510
schedule,508
Monthly,507
inspector.,507
signed,505
future.,504
focus,504
provisions,504
ventilation,504
damage,504
broken,504
leaking,503
located,502
missing.,501
May,501
Compliance,499
departure.,499
level,498
Responsible,497
session,496
detection,496
sufficient,496
assessment,496
ECDIS,495
clean,494
current,493
location,493
notice,492
Improper,490
poor,489
Part,488
caused,488
error,488
update,487
participation,486
marking,486
compliance.,486
held,485
Regular,485
lines,484
wire,484
rectify,483
bunker,483
Defective,483
annual,482
day,481
covers,478
extra,477
Chapter,476
corrected,476
E/R,475
draft,474
documentation,473
visit,472
accepted,472
5.,472
document,470
considered,470
explained,470
Internal,468
designated,468
party,468
forward,465
alarms,464
maintaining,464
section,464
"procedures,",463
requisition,461
complete,460
bilge,460
Although,459
machinery,459
correctly,459
alert,458
Procedure,458
send,457
protection,457
understanding,456
box,456
means,455
2nd,454
radio,453
2024,452
thorough,451
Please,451
food,450
contact,450
status,449
rope,448
15,448
rounds,448
For,447
5,447
file,446
basis,446
amended,444
June,443
technician,443
Superintendents,443
matter,443
high,442
findings,441
2024.,439
vent,438
head,438
tanks,438
Manager,437
established,437
>,436
below,436
recording,436
cooling,435
issues,435
device,434
changed,434
Rescue,432
wear,431
added,431
a),431
see,430
agent,430
(see,430
revised,429
"onboard,",429
supervision.,429
attendance,428
officer.,427
"board,",426
result,426
ALL,424
notified,423
Room,423
carrying,422
July,422
6,422
letter,421
address,421
APPLICABLE,420
even,420
"equipment,",419
able,418
handling,417
Plan,413
refer,413
analysis,413
task,412
Vessel's,412
engineers,411
accordingly,411
malfunction,409
critical,408
contacted,408
shown,408
lower,407
BY,406
navigational,406
across,405
"Additionally,",405
watch,405
Report,403
reference,403
"maintenance,",403
Enhance,403
ordered,402
chemical,402
cannot,402
respective,402
inform,402
carefully,401
practices,400
period,400
didn't,399
superintendents,399
long,398
Found,396
requirement.,396
months.,396
renewal,395
among,394
hose,393
because,393
understand,393
circular,392
way,392
indicated,392
ER,392
Any,391
quality,391
full,391
3rd,391
ropes,390
DPA,390
Master's,390
lessons,389
outside,388
gauge,387
"room,",387
around,386
:unselected:,385
times,385
MSDS,384
procedure.,384
cold,384
now,383
asked,383
process,382
"port,",382
January,381
based,380
Routine,380
medical,380
three,379
again,379
associated,379
aft,379
AS,379
floor,378
especially,378
Inspector,378
AIS,378
stay,377
approval,376
April,376
3),375
When,375
demonstrate,375
ROOM,375
replace,375
spaces,374
waste,372
M/E,372
Masters,372
Basic/Underlying,372
certificate.,371
taking,370
enough,369
bolts,369
rectified.,368
b),368
signs,368
point,368
member,368
quick,368
Gas,367
Cause:,367
filled,366
2022.,366
remote,365
minor,365
Insufficient,365
duly,365
launching,365
position.,363
instead,362
corroded,362
needs,362
content,360
took,360
rubber,360
"addition,",360
adequately,360
deck.,359
support,358
prepared,358
Administration,357
monitored,356
12,355
Some,354
OWS,354
education,354
Master.,352
course,352
report.,352
hour,351
temporary,350
manager,350
Security,350
logbook,350
Work,349
SMS.,349
reports,349
old,349
Completed,348
"Master,",348
VDR,348
Form,348
FOUND,347
covered,347
August,346
No.2,346
identification,345
standards,345
effectively,344
International,344
pin,344
Follow,344
ISPS,344
filed,343
Procedures,343
visits,342
applied,342
said,341
wrong,341
Date,340
place.,340
running,339
showing,339
experience,338
sign,338
message,337
reason,335
month,335
Fuel,335
"crew,",334
detector,334
different,334
Certificates,334
mark,334
pre-joining,334
printed,334
resulting,333
Supervision,333
authorities,333
Alert,333
self-closing,333
short,332
portable,332
lamp,331
increase,331
potential,331
According,331
pre-arrival,331
practice,330
Officer.,330
March,330
would,330
manning,330
Following,329
Applicable,329
duties,328
various,328
Check,328
company.,328
I,327
sounding,326
authority,326
function,326
anchorage,325
start,325
spot,325
pay,324
situational,324
ingress,324
office.,324
overlooked,323
Relevant,323
Further,322
sure,322
discussed.,322
embarkation,322
submitted,322
Load,322
tests,322
berthing,321
sharing,321
boxes,321
frequent,321
Engineers,320
berth,320
prevention,320
IS,319
makers,319
MF/HF,318
None,318
improve,318
imposed,318
-.,317
audits,316
emphasized,316
tried,316
rudder,316
Rectification,316
PPE,315
USCG,315
working.,314
exchange,314
MARPOL,314
inventory,313
quantity,313
Planned,313
routines,312
Book,312
get,312
closed.,312
assigned,311
sensors,311
involved,311
method,311
escape,311
her,310
Annex,310
meet,309
glass,309
Proper,309
general,309
officers.,308
wash,308
CBA,307
Yes,306
WATER,306
Instruction,305
"condition,",305
soon,305
visiting,304
ABS,304
down,304
steam,303
terminal,303
leak,303
perform,303
agreed,302
share,302
Radio,302
times.,302
visible,301
Survey,301
dedicated,301
units,301
remind,301
proceed,301
ports,301
wing,300
Electrician,300
appliances,299
And,299
"time,",299
reoccurrence.,299
Audit,298
mode,298
net,298
December,298
opened,297
enclosed,297
rules,297
mess,297
dry,296
SAFETY,296
plans,296
lighting,295
VHF,295
AT,294
Air,294
antenna,294
housekeeping,294
platform,294
ship.,294
post,293
raft,293
boiler,293
still,292
If,292
limit,292
manual.,292
Job,291
SOPEP,291
Sewage,291
Service,291
no.,291
materials,291
No.1,290
disposal,290
external,290
situation,289
functioning,289
II,289
plastic,288
leading,288
loose,288
Steering,288
CREW,287
handle,287
October,287
discharging,287
Shore,287
devices,286
special,286
Surveyor,286
pumps,285
crane,285
"system,",285
work.,284
together,284
addition,284
Meeting.,284
displayed,284
program,284
Operation,284
entered,283
angle,282
crew's,282
those,282
Condition,282
persons,282
installation,281
results,281
very,281
radar,281
confirmation,281
What,280
few,279
joining,279
expiry,279
systems,279
corrosion,279
regards,279
auditor,279
tools,278
Both,278
Spare,277
left,277
Incorrect,277
up.,277
stated,277
opening,277
locker,277
hard,277
"vessels,",276
davit,276
regulations.,276
"PSCO,",276
language,276
quarterly,275
boarding,275
incorrect,275
maker's,275
lead,275
closely,274
leadership,274
September,274
require,273
learned,273
resulted,273
readily,272
captain,272
administration,272
went,272
piping,272
SEA,272
discussion,271
How,271
one.,271
excessive,269
"Furthermore,",269
bulb,269
guidelines,269
problem,269
later,268
drums,268
days,268
painting,267
responsibility,267
requires,266
endorsement,266
having,265
DMLC,265
c),265
Auxiliary,265
Non,265
started,265
secure,265
cabin,265
re-occurrence.,265
sailing,265
statement,264
immersion,264
rooms,264
gasket,264
damper,264
closure,264
intended,264
calibration,264
China,263
study,263
stowed,263
Defect,262
Personal,262
IOPP,262
on-board,262
defective.,261
hours.,261
training.,261
chemicals,261
personnel.,261
Negligence,261
entrance,261
intervals,261
particular,260
email,260
existing,260
area.,260
learnt,259
objective,259
oily,258
hot,258
dispensation,258
date.,258
attend,258
RO,257
less,257
guard,257
observations,257
adjusted,257
Several,256
happened,256
upper,256
QHSE,256
deficiencies.,256
management.,256
least,256
Classification,255
Navigation,255
Carried,255
Status,255
emphasize,255
permission,255
preparation,255
fan,255
Life,255
2006,255
design,254
applicable,254
shore-based,254
distributed,254
eye,253
therefore,253
incident,253
priming,252
Strengthen,252
initial,252
transfer,251
observation.,251
cylinder,251
satisfactory.,251
completely,251
staff.,250
advance,250
Hull,250
re-occurrence,250
ENGINE,250
14,250
stbd,249
led,249
"out,",249
flange,248
Galley,248
Risk,247
"vessel,",247
interval,247
warning,247
brought,247
rectification.,247
He,247
watertight,246
lagging,246
operate,246
EGCS,246
isolation,246
same.,246
audit.,245
just,245
Finding,245
fall,245
SCBA,245
double,244
anchor,244
forthcoming,243
jobs,243
insufficient,243
conducting,243
international,243
nuts,243
SHIP,243
inoperative,243
suits,243
CE,242
Wear,242
common,242
These,241
showed,241
However,241
periodically,241
External,240
sample,240
Log,240
progress,240
11,240
OUT,240
front,240
addressed,240
issue.,239
etc.,239
society,239
seafarers,238
"2024,",238
7,238
second,238
highlighting,238
Basic,238
surveyor.,237
Captain,237
ME,237
negligence,236
improper,236
ladders,236
cross,236
"fleet,",236
book.,236
Excessive,236
indication,235
indicating,235
"however,",235
Bulletin,235
though,235
followed.,235
recent,235
small,234
operational.,234
electronic,234
Ensure,234
towards,234
explain,233
NO,233
frequently,233
continuous,233
hand,233
demonstrated,233
Action,232
Two,232
permanently,231
Rectified,231
plant,231
leaks,231
container,231
Regulation,230
what,230
winch,230
base,230
lock,230
equipped,229
gauges,229
most,229
stop,228
classification,228
failure.,228
"meeting,",228
renew,228
suitable,228
strengthen,228
Circular,228
Second,228
workshop,228
voyage.,228
Briefing,228
considering,227
booklet,227
Lifeboat,227
30,227
Carry,227
continue,226
inadvertently,226
well.,226
against,226
return,225
seal,225
Generator,224
ORB,224
holding,224
got,223
Missing,223
issued.,223
remarks,223
familiarized,223
photos,222
sets,222
changes,222
Duty,222
DNV,221
"future,",221
receiving,221
visits.,220
setting,220
replaced.,220
reset,220
thus,220
cook,220
Department,220
Medical,220
FIRE,220
actions.,220
remaining,220
III,220
route,219
painted,219
lever,219
DSC,219
Alarm,219
cosmetic,219
LRIT,219
gyro,219
AC,219
attached).,219
CSR,219
steel,219
manuals,219
8,218
top,218
shut,218
manufacturer,218
Section,217
certificates.,217
Conduct,217
"Inspection,",216
DC,216
Singapore,216
window,216
Manning,216
whether,216
effort,215
Third,215
water.,215
(MSCAT,215
alarm.,215
operated,215
apply,215
ratings,215
a.,214
periodic,214
bunkering,214
dated,214
13,214
"2022,",214
tear,214
Others,213
date:,213
paid,213
Test,213
behalf,213
minimum,212
"deck,",212
vegetables,212
equipments,212
maker,212
valve.,212
validity,211
software,211
comprehensive,211
b.,211
key,211
edition,211
Also,211
line.,210
Line,210
motors,210
capacity,210
filter,210
MAINTENANCE,210
spring,210
auto,210
vibration,210
Onboard,209
Rest,209
PORT,209
starting,209
holds,209
permanent,209
"operation,",209
consider,209
correction,209
whole,209
Managers,209
signal,208
attached.,208
copies,208
trading,208
complied,208
released,208
occurred,208
Treatment,207
fittings,207
available.,207
Jan,207
Investigation,207
Ventilation,207
meat,207
motor,206
amount,206
convenient,206
Vessels,206
dirty,206
They,206
Maritime,206
educated,206
satisfactorily,206
neglected,206
plate,205
MOB,205
nature,205
representative,205
specified,204
works,204
remove,204
List,204
raising,204
although,204
sludge,204
card,204
plates,204
visit.,203
operations.,203
STCW,203
on:,203
updated.,203
term,203
SEEMP,203
Working,203
troubleshooting,203
instructions.,203
proceeded,202
indicate,202
OIL,202
boarded,202
records.,201
Replaced,201
verifying,201
Observation,201
marine,200
B,200
LR,200
INSPECTION,199
lesson,199
Annual,199
publication,199
checks.,199
vegetable,198
occurrence,198
24,198
forwarded,198
hook,198
basis.,198
SSP,198
Requisition,198
life-saving,198
purifier,198
:selected:,198
Last,197
stores,197
MASTER,197
factors,196
overboard,196
bosun,196
separate,196
scrubber,195
painter,195
items.,195
connections,195
conformity,195
Feedback,195
-The,195
satisfied,194
WORKING,194
fixing,194
markings,194
points,194
sealed,194
defect.,193
page,193
Tank,193
causing,192
hospital,192
tap,192
electric,192
strict,192
pipeline,192
DURING,192
stock,192
satisfactorily.,192
publications,191
bulkhead,191
folder,191
Convention,191
February,190
"training,",190
17,190
standards.,189
General,189
stuck,189
button,189
Request,189
BWMP,189
subsequent,189
bottom,189
ashore,189
deteriorated,189
completed.,189
arrived,189
aiming,188
restored,188
bulletin,188
attendance.,188
files,188
Stbd,188
heavy,188
firefighting,187
supervisor,187
important,187
it.,187
audits.,187
malfunction.,186
November,186
sampling,186
assistance,186
inspecting,186
fault,186
leakage.,186
Verification,186
easy,186
Electrical,186
Discussed,186
Low,185
show,185
till,185
accident,185
"Also,",185
flow,185
newly,184
described,184
DECK,184
symbols,184
Trained,183
dampers,183
personal,183
forms,183
No.3,183
removal,183
changeover,182
Pollution,182
cables,182
avoiding,182
verification.,181
name,181
Gyro,181
Pilot,181
But,181
reflect,181
ONE,181
delay,180
feedback,180
hazardous,180
2/O,180
promulgated,180
steps,180
declaration,180
packing,180
25,180
locations,180
familiarity,180
sound,179
report:,179
bad,179
places,179
whenever,179
FFE,179
accumulated,179
file.,179
opportunity,179
motivation,179
Starboard,179
magnetic,179
Valve,179
repeater,179
fact,178
disposed,178
Corrected,178
regularly.,178
Since,178
Insulation,177
test.,177
pollution,177
manifold,177
Checked,177
inlet,177
COMPANY,177
"plan,",176
coastal,176
omitted,176
purpose,176
AB,175
PSC.,175
fumigation,174
emphasizing,174
tube,174
manufacturer's,174
instruction.,174
RELATED,174
give,174
Hatch,174
financial,174
ones,174
C,174
Deficiencies,174
treated,174
SYSTEM,173
EPIRB,173
official,173
Feb,173
23,173
charts,173
conditions.,173
QSMS,173
batteries,173
earlier,173
Accommodation,173
statutory,172
making,172
muster,172
Drill,172
members.,172
logbook.,172
examination,172
Muster,172
"inspector,",171
affected,171
RPM,171
•,171
SART,171
obtained,171
Hydraulic,170
Person,170
receive,170
FROM,170
bottle,170
availability,170
partly,170
periodical,170
6.,170
successfully,170
Bosun,170
decided,169
fail,169
found.,169
forecastle,169
PER,169
relative,169
Subject,169
transferred,169
display,169
certified,169
Weekly,169
diligently,169
19,169
remark,168
NOx,168
tool,168
BEEN,168
sealing,168
auxiliary,168
Ch.,168
advise,168
application,168
follow-up,168
confirming,167
parameters,167
documented,167
10.,167
English,167
(2),167
manner.,167
disseminated,167
familiarize,167
CARRIED,167
information.,167
initiated,166
Reg.,166
Communication,165
crewmembers,165
>>,165
day.,165
Panama,165
damaged.,165
allowed,165
Officer's,165
incinerator,165
replacing,165
Before,165
LACK,165
(as,165
complaint,165
contract,165
re-inspection,164
Safe,164
cases,164
maintained.,164
IT,164
Information,164
tight,164
stability,164
necessary.,164
Passage,163
loaded,163
wages,163
known,163
man,163
ECR,163
lamps,163
ask,162
"deficiency,",162
reading,162
abandon,162
smoke,162
Cabin#,162
suction,162
solenoid,162
attributed,162
tasks,162
witnessed,162
TRAINING,162
remotely,162
toilet,162
18,162
Society,162
managers,161
taken.,161
particularly,161
self,161
another,161
preventing,161
Magnetic,161
includes,161
become,161
agreement,161
early,161
mechanism,161
communicate,160
pages,160
BV,160
EMERGENCY,160
listed,160
Document,160
thermometer,160
risks,160
careful,160
SSO,159
unsafe,159
worn,159
dangerous,159
Though,159
factor,159
shower,159
identified.,159
doesn't,159
V,159
NK,159
THAT,158
multiple,158
value,158
station.,158
reoccurrence,158
broken.,158
bulbs,158
policy,158
exposed,158
Nov,158
note,158
CARGO,158
settings,158
learn,158
highlighted,157
allow,157
factors),157
evaluation,157
Light,157
Repair,157
Once,157
containing,157
Access,157
engaged,157
Familiarization,157
"requirements,",157
investigated,156
3/O,156
RECORD,156
Standard,156
filing,156
servicing,156
"permits,",155
fix,155
"Officer,",155
corroded.,155
maximum,155
engines,155
Staff,155
telephone,155
right,155
SHEQ,155
chart,155
store.,154
ID,154
automatic,154
master's,154
PSCO's,154
bottles,153
Reporting,153
facilities,153
caps,153
functional,153
hazards,153
individual,153
photo,153
directly,153
readiness,153
entering,153
parties,153
scupper,153
forgot,153
BA,153
Bilge,153
instruct,153
continuously,153
contents,152
poster,152
record.,152
While,152
cleat,152
EQUIPMENT,152
lowering,152
exist,152
notify,152
extension,152
guide,152
physical,152
"inspections,",152
sessions,151
needed,151
CCS,151
LTA,151
malfunctioning,151
31,151
install,151
health,151
learning,150
heads,150
permit,150
busted,150
deficiency),150
Personnel,150
leakages,150
PCB,150
Battery,150
reviewed.,150
16,150
D2,150
Design,150
total,150
parts.,150
remain,150
conspicuous,149
master.,149
call.,149
AFTER,149
side.,149
faulty,149
Health,149
stage,149
BNWAS,149
dock,149
familiarisation,149
Could,149
fireman,149
(The,149
tapes,149
too,149
Letter,148
DUE,148
amendments,148
highlight,148
respect,148
inoperative.,147
PA,147
Class.,147
"pipes,",147
response,147
bridge.,147
consumption,147
components,147
provided.,147
frequency,147
spot.,147
compressor,147
observed.,147
trend,147
overhauled,147
request.,146
environmental,146
reference.,146
Fleetwide,146
fire-fighting,146
oversight,146
train,146
supporting,146
accept,146
lies,146
difference,145
OOW,145
corresponding,145
understood,145
compliant,145
Failed,144
cleats,144
"that,",144
easily,144
contracts,144
stowage,144
liferaft,144
(Attachment,144
stations,144
Records,144
Inspections,144
overtime,144
BWTS.,144
non,144
vents,144
Voyage,144
action.,144
Boat,144
Date:,143
ALARM,143
avoided?,143
"use,",143
wrong?,143
handled,143
yet,143
possible.,143
run,143
dust,143
Keep,143
prevented?,143
collected,143
kit,143
FO,142
came,142
expected,142
Review,142
Oct,142
visual,142
years,142
focusing,142
Verified/Closed,142
"PMS,",141
Pressure,141
PART,141
speed,141
lapse,141
22,141
IGG,141
form.,141
clarification,141
Educated,141
lashing,141
4),141
placards,141
leaking.,141
needed.,141
hygiene,141
recovery,141
like,140
indicates,140
problems,140
protective,140
stress,140
shipyard,140
Head,140
FACTORS,140
guards,140
changing,140
greased,139
please,139
IAMSAR,139
wearing,139
letters,139
going,138
towing,138
"management,",138
Prior,138
oil.,138
Sep,138
panel.,138
seals,138
accumulation,138
cleanliness,138
Shore-based,138
),138
fish,138
hole,138
source,137
integrity,137
Local,137
minutes,137
regulatory,137
"water,",137
event,137
requesting,137
him,136
9,136
mandatory,136
Officers.,136
safety.,136
switchboard,136
report).,135
tightened,135
faded,135
repairs.,135
FFA,135
Closed,135
(1),135
accurate,135
heat,135
checklist.,135
Table,135
hoses,135
moving,135
acknowledged,134
house,134
Completion,134
Each,134
received.,134
determined,134
rusted,134
satisfaction.,134
(3-monthly),134
process.,134
portside,134
donning,134
final,133
30th,133
aid,133
rust,133
refractory,133
returned,133
TIME,133
LIGHT,132
Radar,132
frame,132
Compass,132
recently,132
safely,132
Engineer.,132
length,132
notification,132
connect,132
normal.,132
Our,132
winches,132
reminder,132
Machinery,132
17/10,131
"area,",131
WERE,131
self-inspection,131
drill.,131
cause:,131
public,131
refresh,131
catering,131
"control,",131
terms,131
With,131
designed,130
used.,130
Boiler,130
raised.,130
evident,130
GMP,129
degrees,129
chapter,129
Preventing,129
OFFICER,129
chamber,129
wires,129
LSA/FFA,129
posters,129
superintendent.,129
advance.,129
10th,129
prompt,129
sink,129
(Not,129
crack,129
"instructed,",129
flap,129
Mooring,129
heavily,129
nozzles,129
granted,129
Stipulation,129
wherein,129
expired.,129
activities,129
temporarily,129
sister,128
strong,128
bulk,128
view,128
responsibilities,128
D-2,128
watch.,128
Issue,128
done.,128
"cleaned,",128
IMSBC,128
11101,128
re,128
"investigation,",127
seafarer,127
CONTROL,127
Certificate.,127
"regulations,",127
S/G,127
question,127
wasted,126
CAUSES,126
filling,126
conducted.,126
removed.,126
discharged,126
lifebuoy,126
SI,126
shows,126
SCM,126
Lessons,126
Gangway,126
outfit,126
Error,126
proactive,126
auditors,126
surface,126
21st,126
(report,126
relating,126
work/rest,126
conduit,126
why,126
height,126
ventilators,126
subsequently,125
Attached,125
week,125
"certificate,",125
many,125
maneuvering,125
restricted,125
remained,125
extraordinary,125
segregation,125
13103,125
detail,125
either,125
HSQE,125
Cook,125
Extraordinary,125
guidance.,125
negligence.,125
meter,124
consideration,124
month.,124
selected,124
complying,124
ongoing,124
"awareness,",124
created,124
empty,123
detectors,123
documents.,123
"instructions,",123
Plan.,123
rollers,123
isolated,123
"report,",123
guidelines.,123
repeated,123
renewed.,123
Analysis,123
wage,123
issuance,123
"Engineer,",123
UMS,123
Bunker,123
giving,123
prepare,122
LOG,122
developed,122
purposes,122
FW,122
establish,122
digital,122
environment,122
despite,122
conditioning,122
Diesel,122
signature,122
tank.,122
verified.,122
c.,122
only.,122
berth.,121
progress.,121
whilst,121
220V,121
EGC,121
activated,121
20,121
Aug,121
difficult,121
grease,120
hrs,120
positions,120
